"gene_id","gene_symbol","gene_name"
"MMT00020847","AI663987","expressed sequence AI663987"
"MMT00020852","2700062C07Rik","RIKEN cDNA 2700062C07 gene"
"MMT00020853","Rpl12","ribosomal protein L12"
"MMT00020866","Extl2","exotoses (multiple)-like 2"
"MMT00020868","Prkaca","protein kinase, cAMP dependent, catalytic, alpha"
"MMT00020869",NA,NA
"MMT00020871","Fcer1a","Fc receptor, IgE, high affinity I, alpha polypeptide"
"MMT00020875","Arch",NA
"MMT00020876","AI790205","expressed sequence AI790205"
"MMT00020878","Olfr777","olfactory receptor 777"
"MMT00020879","Pglyrp1","peptidoglycan recognition protein 1"
"MMT00020883","Kit","kit oncogene"
"MMT00020886","Nudt8","nudix (nucleoside diphosphate linked moiety X)-type motif 8"
"MMT00020890","2410018E23Rik","RIKEN cDNA 2410018E23 gene"
"MMT00020901","Gdf11","growth differentiation factor 11"
"MMT00020903","G431002C21Rik","RIKEN cDNA G431002C21 gene"
"MMT00020912",NA,NA
"MMT00020918",NA,NA
"MMT00020922",NA,NA
"MMT00020923","Qars","glutaminyl-tRNA synthetase"
"MMT00020925","4933427E11Rik","RIKEN cDNA 4933427E11 gene"
"MMT00020926","Fndc3","fibronectin type III domain containing 3"
"MMT00020931","Amfr","autocrine motility factor receptor"
"MMT00020939","Ushbp1","Usher syndrome 1C binding protein 1"
"MMT00020942","Glce",NA
"MMT00020943","Spry4","sprouty homolog 4 (Drosophila)"
"MMT00020945","Cndp2","CNDP dipeptidase 2 (metallopeptidase M20 family)"
"MMT00020947","Rab10","RAB10, member RAS oncogene family"
"MMT00020950","Phlda2","pleckstrin homology-like domain, family A, member 2"
"MMT00020951","Hs1bp1","HS1 binding protein"
"MMT00020955","Arhgap17","Rho GTPase activating protein 17"
"MMT00020962",NA,NA
"MMT00020963",NA,"gene model 489, (NCBI)"
"MMT00020969","Bnip3","BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3"
"MMT00020974","Adarb1","adenosine deaminase, RNA-specific, B1"
"MMT00020979","1810009O10Rik","RIKEN cDNA 1810009O10 gene"
"MMT00020987","Pgam1","phosphoglycerate mutase 1"
"MMT00020996",NA,NA
"MMT00021004","Xbp1","X-box binding protein 1"
"MMT00021009","3010027G13Rik","RIKEN cDNA 3010027G13 gene"
"MMT00021012","AW742319","expressed sequence AW742319"
"MMT00021014","Phxr3","per-hexamer repeat gene 3"
"MMT00021015","3830613O22Rik","RIKEN cDNA 3830613O22 gene"
"MMT00021019","1110067D22Rik","RIKEN cDNA 1110067D22 gene"
"MMT00021020","G431001I09Rik","RIKEN cDNA G431001I09 gene"
"MMT00021026","Tgn","thyroglobulin"
"MMT00021027","Phb","prohibitin"
"MMT00021028","P2y5","purinergic receptor (family A group 5)"
"MMT00021031",NA,NA
"MMT00021033",NA,NA
"MMT00021036","Galnt14","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14"
"MMT00021039","Tde2","tumor differentially expressed 2"
"MMT00021041","Cilp","cartilage intermediate layer protein, nucleotide pyrophosphohydrolase"
"MMT00021044","9130023F12Rik","RIKEN cDNA 9130023F12 gene"
"MMT00021045",NA,NA
"MMT00021052",NA,NA
"MMT00021055","Slc30a4","solute carrier family 30 (zinc transporter), member 4"
"MMT00021060","Epb4.1l5","erythrocyte protein band 4.1-like 5"
"MMT00021061",NA,"gene model 700, (NCBI)"
"MMT00021063","B230331P10Rik","RIKEN cDNA B230331P10 gene"
"MMT00021067","Slc4a11","solute carrier family 4, sodium bicarbonate transporter-like, member 11"
"MMT00021070","BC018462","cDNA sequence BC018462"
"MMT00021071","2410080H04Rik","RIKEN cDNA 2410080H04 gene"
"MMT00021073","Tsga2","testis specific gene A2"
"MMT00021076",NA,NA
"MMT00021077","BC027174","cDNA sequence BC027174"
"MMT00021080","Ap2a1","adaptor protein complex AP-2, alpha 1 subunit"
"MMT00021081","Sirt4","sirtuin 4 (silent mating type information regulation 2 homolog) 4 (S. cerevisiae)"
"MMT00021086","9130410M22Rik","RIKEN cDNA 9130410M22 gene"
"MMT00021087","9530019H02Rik","RIKEN cDNA 9530019H02 gene"
"MMT00021090","Plxnb1","plexin B1"
"MMT00021093","Rpl9","ribosomal protein L9"
"MMT00021096","H2-DMa","histocompatibility 2, class II, locus DMa"
"MMT00021101","AI747448","expressed sequence AI747448"
"MMT00021103","Gcipip",NA
"MMT00021104","2610510H01Rik","RIKEN cDNA 2610510H01 gene"
"MMT00021108","2210403N09Rik","RIKEN cDNA 2210403N09 gene"
"MMT00021110","6720451F06Rik","RIKEN cDNA 6720451F06 gene"
"MMT00021115",NA,NA
"MMT00021121",NA,"gene model 943, (NCBI)"
"MMT00021130","Usf2","upstream transcription factor 2"
"MMT00021133","Plxnc1","plexin C1"
"MMT00021134","BC055811","cDNA sequence BC055811"
"MMT00021141","Fgd5","FYVE, RhoGEF and PH domain containing 5"
"MMT00021142","Sin3a","transcriptional regulator, SIN3A (yeast)"
"MMT00021143","AI648866","expressed sequence AI648866"
"MMT00021145","E130201N16Rik","RIKEN cDNA E130201N16 gene"
"MMT00021150","Prosapip1",NA
"MMT00021159","Sstr4","somatostatin receptor 4"
"MMT00021170",NA,NA
"MMT00021171","Arvcf","armadillo repeat gene deleted in velo-cardio-facial syndrome"
"MMT00021194","1700020A23Rik","RIKEN cDNA 1700020A23 gene"
"MMT00021201","Penk1","preproenkephalin 1"
"MMT00021204","Chchd3","coiled-coil-helix-coiled-coil-helix domain containing 3"
"MMT00021210","Atp5f1","ATP synthase, H+ transporting, mitochondrial  F0 complex, subunit b, isoform 1"
"MMT00021214","Pitx3","paired-like homeodomain transcription factor 3"
"MMT00021217","1700024C24Rik","RIKEN cDNA 1700024C24 gene"
"MMT00021230","2810410M20Rik","RIKEN cDNA 2810410M20 gene"
"MMT00021232","4933426L22Rik","RIKEN cDNA 4933426L22 gene"
"MMT00021233","Kcnn4","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"
"MMT00021244","Rdhe2",NA
"MMT00021246","Plagl2","pleiomorphic adenoma gene-like 2"
"MMT00021250","C330016H24Rik","RIKEN cDNA C330016H24 gene"
"MMT00021254","Cspg2","chondroitin sulfate proteoglycan 2"
"MMT00021256","Pomt2","protein-O-mannosyltransferase 2"
"MMT00021257","Mem1","maternal embryonic message 1"
"MMT00021259","Atp7a","ATPase, Cu++ transporting, alpha polypeptide"
"MMT00021263","2310042M24Rik","RIKEN cDNA 2310042M24 gene"
"MMT00021266","Gpsn2","glycoprotein, synaptic 2"
"MMT00021271","1810049H20Rik","RIKEN cDNA 1810049H20 gene"
"MMT00021275","Sorbs1","sorbin and SH3 domain containing 1"
"MMT00021276","Drd4","dopamine receptor 4"
"MMT00021278","Enam","enamelin"
"MMT00021279","Tceb3bp1","transcription elongation factor B polypeptide 3 binding protein 1"
"MMT00021280","Chrna6","cholinergic receptor, nicotinic, alpha polypeptide 6"
"MMT00021282","Arcn1","archain 1"
"MMT00021284","1110059P08Rik","RIKEN cDNA 1110059P08 gene"
"MMT00021288","Lyn","Yamaguchi sarcoma viral (v-yes-1) oncogene homolog"
"MMT00021294","Stx1a","syntaxin 1A (brain)"
"MMT00021297",NA,NA
"MMT00021300","Trpm3","transient receptor potential cation channel, subfamily M, member 3"
"MMT00021302",NA,NA
"MMT00021306","Trhr2","thyrotropin releasing hormone receptor 2"
"MMT00021315",NA,"gene model 263, (NCBI)"
"MMT00021318","Phip","pleckstrin homology domain interacting protein"
"MMT00021319","Cabyr","calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)"
"MMT00021320","D8Ertd354e","DNA segment, Chr 8, ERATO Doi 354, expressed"
"MMT00021321","Uqcrc1","ubiquinol-cytochrome c reductase core protein 1"
"MMT00021327","Th1l","TH1-like homolog (Drosophila)"
"MMT00021338","Pcsk1","proprotein convertase subtilisin/kexin type 1"
"MMT00021346","Polr3b","polymerase (RNA) III (DNA directed) polypeptide B"
"MMT00021349","Gphn","gephyrin"
"MMT00021352","Uxt","ubiquitously expressed transcript"
"MMT00021354","Olfr698","olfactory receptor 698"
"MMT00021360","Masp1","mannan-binding lectin serine protease 1"
"MMT00021364","Elovl7","ELOVL family member 7, elongation of long chain fatty acids (yeast)"
"MMT00021370","Slc25a5","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5"
"MMT00021372","Eif3s2","eukaryotic translation initiation factor 3, subunit 2 (beta)"
"MMT00021381","Gpd1","glycerol-3-phosphate dehydrogenase 1 (soluble)"
"MMT00021392","Tram1l1","translocation associated membrane protein 1-like 1"
"MMT00021394","Pik3r1","phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)"
"MMT00021395","9130231C15Rik","RIKEN cDNA 9130231C15 gene"
"MMT00021404","Dcc","deleted in colorectal carcinoma"
"MMT00021409",NA,NA
"MMT00021413",NA,NA
"MMT00021415","Plscr2","phospholipid scramblase 2"
"MMT00021418","Klf12","Kruppel-like factor 12"
"MMT00021420",NA,NA
"MMT00021424","Pscd2","pleckstrin homology, Sec7 and coiled-coil domains 2"
"MMT00021430","0610012A05Rik","RIKEN cDNA 0610012A05 gene"
"MMT00021432","0610006K04Rik","RIKEN cDNA 0610006K04 gene"
"MMT00021433","Atp5j2","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2"
"MMT00021439","Rbm8","RNA binding motif protein 8"
"MMT00021443","Hipk2","homeodomain interacting protein kinase 2"
"MMT00021452","Olfr1298","olfactory receptor 1298"
"MMT00021453",NA,NA
"MMT00021457","BB114266","expressed sequence BB114266"
"MMT00021460","Taf4a","TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor"
"MMT00021462","1700001O22Rik","RIKEN cDNA 1700001O22 gene"
"MMT00021466",NA,NA
"MMT00021469","Eef1a1","eukaryotic translation elongation factor 1 alpha 1"
"MMT00021486","Mrpl55","mitochondrial ribosomal protein L55"
"MMT00021492","Wtap","Wilms' tumour 1-associating protein"
"MMT00021499","Acvr2","activin receptor IIA"
"MMT00021500",NA,NA
"MMT00021503","Herpud1","homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"
"MMT00021505","Net1","neuroepithelial cell transforming gene 1"
"MMT00021508","AW260467","expressed sequence AW260467"
"MMT00021511","Ccl12","chemokine (C-C motif) ligand 12"
"MMT00021515","Olfr498","olfactory receptor 498"
"MMT00021522","U2af1-rs1","U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1, related sequence 1"
"MMT00021526","6720456B07Rik","RIKEN cDNA 6720456B07 gene"
"MMT00021527","Elavl3","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)"
"MMT00021531","Ccl25","chemokine (C-C motif) ligand 25"
"MMT00021532","Plrg1","pleiotropic regulator 1, PRL1 homolog (Arabidopsis)"
"MMT00021546","1810058I14Rik","RIKEN cDNA 1810058I14 gene"
"MMT00021574","Ngfb","nerve growth factor, beta"
"MMT00021577","Foxd3","forkhead box D3"
"MMT00021580","Suox","sulfite oxidase"
"MMT00021582","Osbpl6","oxysterol binding protein-like 6"
"MMT00021600","Ndufa6","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14)"
"MMT00021613","Tbx1","T-box 1"
"MMT00021615","9430098E02Rik","RIKEN cDNA 9430098E02 gene"
"MMT00021619","Aldh7a1","aldehyde dehydrogenase family 7, member A1"
"MMT00021626","Mpp5","membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)"
"MMT00021635","Stau1","staufen (RNA binding protein) homolog 1 (Drosophila)"
"MMT00021643","Fgd5","FYVE, RhoGEF and PH domain containing 5"
"MMT00021646","Zfyve20","zinc finger, FYVE domain containing 20"
"MMT00021649","Erbb3","v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)"
"MMT00021652","B2m","beta-2 microglobulin"
"MMT00021664","Olfr208","olfactory receptor 208"
"MMT00021673","C330002I19Rik","RIKEN cDNA C330002I19 gene"
"MMT00021674","Scgb1a1","secretoglobin, family 1A, member 1 (uteroglobin)"
"MMT00021679","DXImx39e","DNA segment, Chr X, Immunex 39, expressed"
"MMT00021687","Rps17","ribosomal protein S17"
"MMT00021688","Ywhah","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"
"MMT00021691","Serpinb5","serine (or cysteine) proteinase inhibitor, clade B, member 5"
"MMT00021694","Hnrpdl","heterogeneous nuclear ribonucleoprotein D-like"
"MMT00021695","5430437P03Rik","RIKEN cDNA 5430437P03 gene"
"MMT00021700","8430403M15Rik","RIKEN cDNA 8430403M15 gene"
"MMT00021701","2610040E16Rik","RIKEN cDNA 2610040E16 gene"
"MMT00021716","Igfbp5","insulin-like growth factor binding protein 5"
"MMT00021721","1200016B17Rik","RIKEN cDNA 1200016B17 gene"
"MMT00021722","8430438L13Rik","RIKEN cDNA 8430438L13 gene"
"MMT00021725","Nr2c2","nuclear receptor subfamily 2, group C, member 2"
"MMT00021727","Pspc1","paraspeckle protein 1"
"MMT00021730","Sva","seminal vesicle antigen"
"MMT00021734","Rab15","RAB15, member RAS oncogene family"
"MMT00021742","Padi3","peptidyl arginine deiminase, type III"
"MMT00021743","Cfh","complement component factor h"
"MMT00021746","1200015N20Rik","RIKEN cDNA 1200015N20 gene"
"MMT00021753","8430403M15Rik","RIKEN cDNA 8430403M15 gene"
"MMT00021756","Siat5","sialyltransferase 5"
"MMT00021757","Ikbkg","inhibitor of kappaB kinase gamma"
"MMT00021759","Adrm1","adhesion regulating molecule 1"
"MMT00021763","Myf6","myogenic factor 6"
"MMT00021766",NA,NA
"MMT00021767","6430601A21Rik","RIKEN cDNA 6430601A21 gene"
"MMT00021769","Ofd1","oral-facial-digital syndrome 1 gene homolog (human)"
"MMT00021771","Aqr","aquarius"
"MMT00021777","Tk2","thymidine kinase 2, mitochondrial"
"MMT00021778","9030407H20Rik","RIKEN cDNA 9030407H20 gene"
"MMT00021784","Slc38a3","solute carrier family 38, member 3"
"MMT00021787",NA,NA
"MMT00021788","Dcx","doublecortin"
"MMT00021793","Ndufa3","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3"
"MMT00021795","D11Ertd99e","DNA segment, Chr 11, ERATO Doi 99, expressed"
"MMT00021805","Igfbp7","insulin-like growth factor binding protein 7"
"MMT00021810","Olfr1038","olfactory receptor 1038"
"MMT00021811","AI316882","expressed sequence AI316882"
"MMT00021812","Rbbp9","retinoblastoma binding protein 9"
"MMT00021815","Camkk2","calcium/calmodulin-dependent protein kinase kinase 2, beta"
"MMT00021819","5430420C16Rik","RIKEN cDNA 5430420C16 gene"
"MMT00021821","Fgd5","FYVE, RhoGEF and PH domain containing 5"
"MMT00021822",NA,NA
"MMT00021823","Fbxw7","F-box and WD-40 domain protein 7, archipelago homolog (Drosophila)"
"MMT00021830","Nol5a","nucleolar protein 5A"
"MMT00021836","Was","Wiskott-Aldrich syndrome homolog (human)"
"MMT00021841","BC023488","cDNA sequence BC023488"
"MMT00021842","1700056O17Rik","RIKEN cDNA 1700056O17 gene"
"MMT00021843","Lpp","LIM domain containing preferred translocation partner in lipoma"
"MMT00021848","1810043G02Rik","RIKEN cDNA 1810043G02 gene"
"MMT00021851","4931406O17Rik","RIKEN cDNA 4931406O17 gene"
"MMT00021852",NA,NA
"MMT00021854","Ube2b","ubiquitin-conjugating enzyme E2B, RAD6 homology (S. cerevisiae)"
"MMT00021869","Ifi1","interferon inducible protein 1"
"MMT00021873",NA,NA
"MMT00021880","5730494N06Rik","RIKEN cDNA 5730494N06 gene"
"MMT00021884","Ubtf","upstream binding transcription factor, RNA polymerase I"
"MMT00021889","Ebf4","early B-cell factor 4"
"MMT00021898",NA,NA
"MMT00021901","Gm236","gene model 236, (NCBI)"
"MMT00021905","Rps8","ribosomal protein S8"
"MMT00021906","2810036L13Rik","RIKEN cDNA 2810036L13 gene"
"MMT00021910","Plekha3","pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3"
"MMT00021912","Xmr","Xlr-related, meiosis regulated"
"MMT00021913","Ppid","peptidylprolyl isomerase D (cyclophilin D)"
"MMT00021914","AI316882","expressed sequence AI316882"
"MMT00021917",NA,NA
"MMT00021921","Ormdl3","ORM1-like 3 (S. cerevisiae)"
"MMT00021924","D14Ertd436e","DNA segment, Chr 14, ERATO Doi 436, expressed"
"MMT00021925","Acvrinp1","activin receptor interacting protein 1"
"MMT00021926","2810403D23Rik","RIKEN cDNA 2810403D23 gene"
"MMT00021927","Incenp","inner centromere protein"
"MMT00021930",NA,NA
"MMT00021935","Lgals3","lectin, galactose binding, soluble 3"
"MMT00021936",NA,NA
"MMT00021942","MGC58970",NA
"MMT00021945","Slc4a1","solute carrier family 4 (anion exchanger), member 1"
"MMT00021946","Rfx4","regulatory factor X, 4 (influences HLA class II expression)"
"MMT00021948","Sf3a2","splicing factor 3a, subunit 2"
"MMT00021949","Gja9","gap junction membrane channel protein alpha 9"
"MMT00021961",NA,NA
"MMT00021964","Olfr126","olfactory receptor 126"
"MMT00021965","Gcgr","glucagon receptor"
"MMT00021966","Gpr43","G protein-coupled receptor 43"
"MMT00021968",NA,NA
"MMT00021971","Chst9","carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9"
"MMT00021977",NA,NA
"MMT00021979","6330442E10Rik","RIKEN cDNA 6330442E10 gene"
"MMT00021982","Neurog1","neurogenin 1"
"MMT00021989",NA,NA
"MMT00022000","2410072D24Rik","RIKEN cDNA 2410072D24 gene"
"MMT00022003","Drd5","dopamine receptor 5"
"MMT00022005","1110032N12Rik","RIKEN cDNA 1110032N12 gene"
"MMT00022008","6820424L24Rik","RIKEN cDNA 6820424L24 gene"
"MMT00022011",NA,NA
"MMT00022015","B230104P22Rik","RIKEN cDNA B230104P22 gene"
"MMT00022023","Pigh","phosphatidylinositol glycan, class H"
"MMT00022024","Clec2",NA
"MMT00022028","1110036O03Rik","RIKEN cDNA 1110036O03 gene"
"MMT00022030",NA,NA
"MMT00022032","Arhgap20","Rho GTPase activating protein 20"
"MMT00022033","Ndufaf1","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1"
"MMT00022036","Ckap4","cytoskeleton-associated protein 4"
"MMT00022040","D830019J24Rik","RIKEN cDNA D830019J24 gene"
"MMT00022044",NA,NA
"MMT00022049","Sfxn4","sideroflexin 4"
"MMT00022051","Ttc3","tetratricopeptide repeat domain 3"
"MMT00022052",NA,NA
"MMT00022054",NA,"gene model 684, (NCBI)"
"MMT00022060","Mea1","male enhanced antigen 1"
"MMT00022061","Rabggtb","RAB geranylgeranyl transferase, b subunit"
"MMT00022062","Col13a1","procollagen, type XIII, alpha 1"
"MMT00022066","Ttc5","tetratricopeptide repeat domain 5"
"MMT00022067","H2-Q8","histocompatibility 2, Q region locus 8"
"MMT00022068","Adrb1","adrenergic receptor, beta 1"
"MMT00022070","2610510H03Rik","RIKEN cDNA 2610510H03 gene"
"MMT00022074","Slc5a7","solute carrier family 5 (choline transporter), member 7"
"MMT00022078","4933404O19Rik","RIKEN cDNA 4933404O19 gene"
"MMT00022080","BC068284","cDNA sequence BC068284"
"MMT00022085","Fhl3","four and a half LIM domains 3"
"MMT00022087","C330023D02Rik","RIKEN cDNA C330023D02 gene"
"MMT00022089","1810046K07Rik","RIKEN cDNA 1810046K07 gene"
"MMT00022090","Smok2","sperm motility kinase 2"
"MMT00022093","Cyp2j11","cytochrome P450, family 2, subfamily j, polypeptide 11"
"MMT00022094","Slc23a1","solute carrier family 23 (nucleobase transporters), member 1"
"MMT00022095","Pigh","phosphatidylinositol glycan, class H"
"MMT00022098","Bcl6b","B-cell CLL/lymphoma 6, member B"
"MMT00022101","Acly","ATP citrate lyase"
"MMT00022107",NA,NA
"MMT00022109",NA,NA
"MMT00022114","Grcc10","gene rich cluster, C10 gene"
"MMT00022128","Srrm2","serine/arginine repetitive matrix 2"
"MMT00022130","Eif4b","eukaryotic translation initiation factor 4B"
"MMT00022131",NA,NA
"MMT00022135","4930539C22Rik","RIKEN cDNA 4930539C22 gene"
"MMT00022137","Mbd3l1","methyl-CpG binding domain protein 3-like 1"
"MMT00022139","4933406L09Rik","RIKEN cDNA 4933406L09 gene"
"MMT00022140","Ccl7","chemokine (C-C motif) ligand 7"
"MMT00022142","2510006C20Rik","RIKEN cDNA 2510006C20 gene"
"MMT00022149","Sntb2","syntrophin, basic 2"
"MMT00022150","Mgmt","O-6-methylguanine-DNA methyltransferase"
"MMT00022151","4921522P10Rik","RIKEN cDNA 4921522P10 gene"
"MMT00022152","Olfr697","olfactory receptor 697"
"MMT00022155","Mrp63","mitochondrial ribosomal protein 63"
"MMT00022157","4632413C14Rik","RIKEN cDNA 4632413C14 gene"
"MMT00022161",NA,NA
"MMT00022168","Bat4","HLA-B associated transcript 4"
"MMT00022172","D130006K24Rik","RIKEN cDNA D130006K24 gene"
"MMT00022174","3732409C05Rik","RIKEN cDNA 3732409C05 gene"
"MMT00022176","Krt1-3","keratin complex 1, acidic, gene 3"
"MMT00022177","1700112P19Rik","RIKEN cDNA 1700112P19 gene"
"MMT00022186","2210409B01Rik","RIKEN cDNA 2210409B01 gene"
"MMT00022187","Apoa1bp","apolipoprotein A-I binding protein"
"MMT00022190","2310009E04Rik","RIKEN cDNA 2310009E04 gene"
"MMT00022196","Sox15","SRY-box containing gene 15"
"MMT00022205","Cdc2l5","cell division cycle 2-like 5 (cholinesterase-related cell division controller)"
"MMT00022209","Dnajb6","DnaJ (Hsp40) homolog, subfamily B, member 6"
"MMT00022212","Cetn2","centrin 2"
"MMT00022214","Btbd14b","BTB (POZ) domain containing 14B"
"MMT00022215","Rnf30","ring finger protein 30"
"MMT00022223","Styx","phosphoserine/threonine/tyrosine interaction protein"
"MMT00022226","Kbtbd4","kelch repeat and BTB (POZ) domain containing 4"
"MMT00022228","1110069O07Rik","RIKEN cDNA 1110069O07 gene"
"MMT00022230","Prss21","protease, serine, 21"
"MMT00022239","Anktm1",NA
"MMT00022240","4933417A18Rik","RIKEN cDNA 4933417A18 gene"
"MMT00022255","A630033H20Rik","RIKEN cDNA A630033H20 gene"
"MMT00022261","Arpc5l","actin related protein 2/3 complex, subunit 5-like"
"MMT00022262","Tieg3","TGFB inducible early growth response 3"
"MMT00022264","Ptpn21","protein tyrosine phosphatase, non-receptor type 21"
"MMT00022265","Oprm","opioid receptor, mu"
"MMT00022267","4930529M09Rik","RIKEN cDNA 4930529M09 gene"
"MMT00022270","Smad9","MAD homolog 9 (Drosophila)"
"MMT00022271","Sox9","SRY-box containing gene 9"
"MMT00022277",NA,"gene model 732, (NCBI)"
"MMT00022285","C330014B19Rik","RIKEN cDNA C330014B19 gene"
"MMT00022288","Ampd1","adenosine monophosphate deaminase 1 (isoform M)"
"MMT00022289","D10Bwg0940e","DNA segment, Chr 10, Brigham & Women's Genetics 0940 expressed"
"MMT00022290",NA,NA
"MMT00022294","2010100O12Rik","RIKEN cDNA 2010100O12 gene"
"MMT00022295","Mgst3","microsomal glutathione S-transferase 3"
"MMT00022300","Icam5","intercellular adhesion molecule 5, telencephalin"
"MMT00022312",NA,NA
"MMT00022313","Magea7","melanoma antigen, family A, 7"
"MMT00022321","1810060J02Rik","RIKEN cDNA 1810060J02 gene"
"MMT00022338","Fmip","Fms interacting protein"
"MMT00022342","Pcdh12","protocadherin 12"
"MMT00022344","Acox1","acyl-Coenzyme A oxidase 1, palmitoyl"
"MMT00022349",NA,NA
"MMT00022359","Cnot10","CCR4-NOT transcription complex, subunit 10"
"MMT00022374","6430517J16Rik","RIKEN cDNA 6430517J16 gene"
"MMT00022375","Tmem27","transmembrane protein 27"
"MMT00022377","Kctd3","potassium channel tetramerisation domain containing 3"
"MMT00022379","Col4a3","procollagen, type IV, alpha 3"
"MMT00022382","Zfp54","zinc finger protein 54"
"MMT00022386","Zcchc9","zinc finger, CCHC domain containing 9"
"MMT00022390","Gpr27","G protein-coupled receptor 27"
"MMT00022403","1810023B24Rik","RIKEN cDNA 1810023B24 gene"
"MMT00022408","Sycp1","synaptonemal complex protein 1"
"MMT00022411","Olfr1203","olfactory receptor 1203"
"MMT00022413","Atoh1","atonal homolog 1 (Drosophila)"
"MMT00022414","Ppgb","protective protein for beta-galactosidase"
"MMT00022418","1110014J01Rik","RIKEN cDNA 1110014J01 gene"
"MMT00022420",NA,NA
"MMT00022427","E330017E16",NA
"MMT00022429",NA,NA
"MMT00022430","Ush2a","Usher syndrome 2A (autosomal recessive, mild) homolog (human)"
"MMT00022433","Ush2a","Usher syndrome 2A (autosomal recessive, mild) homolog (human)"
"MMT00022446",NA,NA
"MMT00022449","Map3k7","mitogen activated protein kinase kinase kinase 7"
"MMT00022451",NA,NA
"MMT00022453","Lrrc25","leucine rich repeat containing 25"
"MMT00022455","Ush2a","Usher syndrome 2A (autosomal recessive, mild) homolog (human)"
"MMT00022459",NA,NA
"MMT00022461","Ythdf1","YTH domain family 1"
"MMT00022462","Rps14","ribosomal protein S14"
"MMT00022469","Abca6","ATP-binding cassette, sub-family A (ABC1), member 6"
"MMT00022471","Lama5","laminin, alpha 5"
"MMT00022481","B230315M08Rik","RIKEN cDNA B230315M08 gene"
"MMT00022482","Psme2","proteasome (prosome, macropain) 28 subunit, beta"
"MMT00022483","Thsd1","thrombospondin, type I, domain 1"
"MMT00022488","1810055G02Rik","RIKEN cDNA 1810055G02 gene"
"MMT00022489","Arrdc2","arrestin domain containing 2"
"MMT00022490","C230090D14",NA
"MMT00022494","Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"MMT00022497","Rpl19","ribosomal protein L19"
"MMT00022502","Psmb3","proteasome (prosome, macropain) subunit, beta type 3"
"MMT00022505","A930014K01Rik","RIKEN cDNA A930014K01 gene"
"MMT00022510","BC034097","cDNA sequence BC034097"
"MMT00022511","Mdn1","midasin homolog (yeast)"
"MMT00022520","Trhr","thyrotropin releasing hormone receptor"
"MMT00022523","E330017E16",NA
"MMT00022528","2600009E05Rik","RIKEN cDNA 2600009E05 gene"
"MMT00022535","C130099A20Rik","RIKEN cDNA C130099A20 gene"
"MMT00022537","C030015H18Rik","RIKEN cDNA C030015H18 gene"
"MMT00022548","Cdc27","cell division cycle 27 homolog (S. cerevisiae)"
"MMT00022553","Socs2","suppressor of cytokine signaling 2"
"MMT00022554",NA,NA
"MMT00022559","Ccng1","cyclin G1"
"MMT00022585","Akap1","A kinase (PRKA) anchor protein 1"
"MMT00022586","Apod","apolipoprotein D"
"MMT00022590","2210402C18Rik","RIKEN cDNA 2210402C18 gene"
"MMT00022605","Mcm5","minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)"
"MMT00022609","Btf3","basic transcription factor 3"
"MMT00022612","Gbif",NA
"MMT00022615","Tysnd1","trypsin domain containing 1"
"MMT00022616",NA,NA
"MMT00022621","Sec5l1","SEC5-like 1 (S. cerevisiae)"
"MMT00022622","5830416A07Rik","RIKEN cDNA 5830416A07 gene"
"MMT00022623",NA,NA
"MMT00022629",NA,NA
"MMT00022632",NA,NA
"MMT00022637","Cib2","calcium and integrin binding family member 2"
"MMT00022640","Ptma","prothymosin alpha"
"MMT00022642","Amid","apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death"
"MMT00022643","H3f3a","H3 histone, family 3A"
"MMT00022646","Phemx","pan hematopoietic expression"
"MMT00022647","Slc30a7","solute carrier family 30 (zinc transporter), member 7"
"MMT00022648",NA,NA
"MMT00022657","C8b","complement component 8, beta subunit"
"MMT00022659","Olfr1033","olfactory receptor 1033"
"MMT00022665","Cyfip2","cytoplasmic FMR1 interacting protein 2"
"MMT00022672","Txnl1","thioredoxin-like 1"
"MMT00022673","BC016235","cDNA sequence BC016235"
"MMT00022674",NA,NA
